grade,question,golden
1,芳芳买了一本书有99页，看了90页，她还剩多少页没有看？,9
1,小勇拍皮球，第一次拍了77下，第二次比第一次少了9下，第二次拍了多少下？,68
1,妈妈带了30元，买了一条鱼，剩6元，这条鱼多少钱？,24
1,一年级有84人去郊游，二年级比一年级多去8人，二年级有多少人去郊游？,92
1,同学们要种18棵树，第一组种了8棵，第二组种了7棵树，还有多少棵需要种？,3
1,妈妈和小丽在家包饺子，妈妈包了15个，丽丽包了3个。丽丽还要包几个饺子才与妈妈一样多？,12
1,小强原来有4辆小汽车。爸爸送给他一辆新车作为生日礼物。小强现在有几辆小汽车？,5
1,草坪上有灰鸽子19只，白鸽子比灰鸽子多9只。草坪上有白鸽子多少只？,28
1,学校有菊花30盆，兰花70盆，一共有多少盆花？,100
1,马路两边各种40棵树，一共种树多少棵？,80
1,教室里有42把椅子，拿走一些，还剩8把，拿走了多少把？,34
1,一个皮球60元，一个毽子10元，毽子比皮球便宜多少元？,50
1,学校原有25瓶胶水，又买回9瓶，现在有多少瓶？,34
1,琪琪买零食花了17元，妹妹花了7元，琪琪比妹妹多花了几元？,10
1,公共汽车上有7个人，第一站上来6个人，第二站上来3个人，现在车上有几个人？,16
1,小明家住五楼，每上一层楼要用1分钟，小明从一楼走到五楼，要走多少分钟？,4
1,娜娜有23个糖果，婷婷有30个，两人一共有多少个糖果？,53
1,学校里有58盆黄菊花，50盆红菊花，黄菊花比红菊花多多少盆？,8
1,丽丽借给3位好朋友各4本故事书，她一共借出了多少本故事书？,12
1,一盘花生有48颗，梅梅拿出几颗后，还剩下40颗？,8
1,喜羊羊和灰太狼比赛骑木马，喜羊羊骑了50下，灰太狼骑了40下。喜羊羊比灰太狼多骑了多少下？,10
1,妈妈买了一些梨，小刚吃了3个，妈妈吃了2个，小刚和妈妈一共吃了多少个？,5
1,小苹种7盆红花，又种了同样多的黄花，两种花共多少盆？,14
1,光明小区棋牌院有69副象棋，60副跳棋，象棋比跳棋多多少副？,9
1,有67颗五角星，第一大组发了14颗，第二大组发了6颗，还剩多少颗五角星？,47
1,妈妈买来18个鸡蛋，吃了5个后，还剩多少个鸡蛋？,13
1,小明有9只纸飞机，比小军多3只。小军有多少只纸飞机？,6
1,汽车站有40辆汽车，第一次开走20辆，第二次开走10辆，还剩多少辆？,10
1,学雷锋小组上午修了20把椅子，下午修了10把，一天总共修了多少把椅子？,30
1,老师买回14盒白粉笔和2盒彩粉笔，上课用了1盒粉笔，还剩几盒粉笔？,15
1,同学们要做29个灯笼，已经做好了9个，还要做多少个？,20
1,森林运动会上，小狐狸比小狗多跑9米，小兔比小狗多跑4米，小狐狸比小兔多跑多少米？,5
1,小灰兔拔了9个萝卜，小白兔拔的是小灰兔的2倍。它们一共拔了多少个萝卜？,27
1,树上有21只小松鼠，树下有8只，一共有多少只小松鼠？,29
1,小红已经写了8个字，还差5个字没写，小红要多少个字？,13
1,杉杉捡了20个贝壳，还要捡39个，一共要捡多少个贝壳？,59
1,学校体育室里有23个足球，被人借走了10个，还有多少个？,13
1,小兔拔了26个萝卜，比小猪少6个，小猪拔了多少个？,32
1,商店里有16个蛋糕，卖出去5个，还剩多少个？,11
1,一艘船可以坐50人，船上已经有30人，还可以坐几人？,20
1,马场上有20匹马，又来了21匹，现在马场上有多少匹？,41
1,节日里，欢欢买了7个气球，回家路上爆了3个，他带回家几个气球？,4
1,乐乐有19枚邮票，文文有8枚邮票，一共有多少枚邮票？,27
1,农民伯伯上午摘了16筐番茄，运送到食堂3筐后，下午又摘了6筐。现在农民伯伯需要把多少筐番茄运到市场上卖？,19
1,亮亮有15张画片，送给弟弟5张，还剩下几张画片？,10
1,电饭锅卖了8个，还剩下7个，原来一共有多少个？,15
1,从前面数，贝贝排9，从后面数他排12，这一排一共有几人？,20
1,阳阳有102张1元的纸币，他最多能换几张50元的纸币？,2
1,活动课上打乒乓球的有8人，做操的有24人。打乒乓球球和做操的同学共有多少人？,32
1,苗苗家里有50个苹果，有30个梨，有20个桃。桃比苹果少多少个？,30
2,张师傅上午修了18把椅子，下午修了29把椅子，一天共修了多少把椅子？,47
2,小小图书室有52本故事书，科技书比故事书多6本，科技书有多少本？,58
2,李师傅用一根长52米的绳子做跳绳，每根跳绳长6米，最多可以做多少根跳绳？,8
2,一个皮球65元，一个球拍38元，皮球比球拍多几元？,27
2,2个茶杯装一盒，19个茶杯可以装满多少盒？,9
2,小明和小芳一起做跳绳，小明跳了67下，小芳跳了42下。小芳再跳多少下就和小明跳的一样多？,25
2,有60只灯泡，每盏吊灯需装7只灯泡。这些灯泡可以装多少盏吊灯？,8
2,有32名同学排队，每4名同学站一排，可以站几排？,8
2,小丽的妈妈买回来两根绳，一根长15米，另一根长21米，截去一些做跳绳，还剩8米，做跳绳用去多少米？,28
2,花店运来19朵玫瑰花，每2朵扎成一束，可以扎成多少束？,6
2,一个三角形纸片有3个角，一个四边形纸片有4个角，那么6个三角形纸片和1个四边形共有多少个角？,22
2,有25本笔记本，每5本笔记本放在一个盒子里，需要多少个盒子？,5
2,元旦到了，二（4）班买了42个气球装点教室。如果每7个气球扎成一束，能扎成几束？,6
2,妈妈买了3千克苹果和5千克梨，每千克梨6元，每千克苹果3元，苹果和梨共多少钱？,39
2,李立用彩纸做花，已经用了45张，还差8张，李立要用多少张彩纸？,53
2,书店有3捆书，每捆2本，每本8元，书店把这两捆书全部卖完，可以卖多少元？,48
2,小方家有45只鸡，养的鸭比鸡少5只，小方家有鸭多少只？,40
2,关村要修一条长92米的马路，已经修了54米，还有多少米没修？,38
2,老师买了48根跳绳，平均分给6个班，每个班分几根？,8
2,哥哥把21本书平均分给小里、小洛和小骏，小骏分到多少本？,7
2,一本笔记本卖4元。欢欢有27元，可以买多少本笔记本？,6
2,我们小组共有12人，我的左边有7人，我的右边有多少人？,4
2,小华有95枚邮票，小明有83枚邮票，小明的邮票比小华多多少枚？,12
2,小兰的妈妈做一套衣服用去3米布，25米布可以做多少套这样的衣服？,8
2,二年级买来科技书18本，故事书24本。把这些书分给二年级6个班，平均每个班分多少本？,7
2,同学们今天种了25棵树，前天种了12棵树，昨天种了22棵树，昨天和今天一共种了多少棵？,47
2,一个篮球的售价是48元，一个足球的售价是39元，一个足球的售价比一个篮球少多少元？,9
2,杯子里有72颗糖，拿走38颗，杯子里还有多少颗糖？,34
2,红、黄、蓝三种气球一样多，一共15个，红气球有多少个？,5
2,小平种了26盒红花，又种了同样多的黄花，两种花共种了多少盒？,52
2,7辆小汽车收费多少元？(停车收费标准:小汽车：6元;面包车：8元),42
2,爸爸用50元买了7本笔记本，商店的阿姨找了爸爸1元，那么一本笔记本多少元？,7
2,一个足球要36元，小丽有24元，还差多少元才能购买一个足球？,12
2,学校买来74本课外书，平均分给9个班，每个班分多少本？,8
2,小松鼠摘松果，每个筐里放了6个松果，一共放了8筐，小松鼠一共摘了多少个松果？,48
2,2.二（2）班筹集班费87元，买一个篮球需要52元，买清洁工具需要46元，还差多少元？,11
2,小丽家离学校53米远，一天她上学走了23米，想起忘记带手工纸，立即返回家中，拿了手工纸再上学，这次上学她一共走了多少米？,99
2,同学们做了5盒大红花，每盒装9朵，送三好学生32朵，还剩下多少朵？,13
2,刘老师有5盒乒乓球，每盒装6个，同学们借走了23个，还剩多少个？,7
2,5头牛1天吃了30筐草，平均每头牛吃几筐草?,6
2,二年级有男生20人，女生25人，每9人一组参加跳绳比赛，一共可以分成几组？,5
2,一只兔子有4只脚，一只鸡有2只脚，4只兔子和一只鸡一共有多少只脚？,18
2,合唱队有男同学38人，比女同学少15人，合唱队共有多少人？,91
2,露露：我踢了45下。佳佳：我比露露多踢18下。乐乐：我比佳佳多踢21下。乐乐踢了多少下？,84
2,9只兔子有多少条腿？,36
2,一批产品，4人做9天可以完成。照这样计算，这批产品要在6天完成，需要多少人？,6
2,李明红剪五角星，第一次剪了13个，第二次和第一次剪的同样多，两次一共剪了多少个？,26
2,27个小朋友去划船，每条船可以坐3人，需要几条船？,9
2,一辆公交车原来有乘客46人，到西门站下车17人，又上车11人，公交车上现在有多少人？,40
2,某商店新进一批洗衣粉，共有33袋，每7袋装一箱，可以装多少箱？,4
3,小猴摘了84个桃子，平均分给6只猴子，每只猴子能吃到几个桃子？,14
3,李师傅4天加工40个零件，照这样计算，今年4月份全月一共可加工多少个零件？,300
