grade,question,golden
1,问：芳芳买了一本书有99页，看了90页，她还剩多少页没有看？答：她还剩 99 - 9 = 90页没有看。问：芳芳买了一本书有199页，看了90页，她还剩多少页没有看？,109
1,问：小勇拍皮球，第一次拍了77下，第二次比第一次少了9下，第二次拍了多少下？答：第二次小勇拍了77下减去9下。等于68下。问：请计算如果小勇拍皮球，第一次拍了80下，第二次比第一次少了9下，第二次拍了多少下？,71
1,问：妈妈带了30元，买了一条鱼，剩6元，这条鱼多少钱？答：这条鱼的价格是30元减去剩下的6元，所以这条鱼的价格是24元。问：妈妈带了20元，买了一条鱼，剩6元，这条鱼多少钱? ,14
1,问：一年级有84人去郊游，二年级比一年级多去8人，二年级有多少人去郊游？答：二年级有84人+8人=92人去郊游。问：一年级有90人去郊游，二年级比一年级多去8人，二年级有多少人去郊游? ,98
1,问：同学们要种18棵树，第一组种了8棵，第二组种了7棵树，还有多少棵需要种？答：同学们已经种了8棵和7棵，总共种了15棵树。所以，他们还需要种3棵树以达到18棵的目标。问：同学们要种20棵树，第一组种了8棵，第二组种了7棵树，还有多少棵需要种？,5
1,问：妈妈和小丽在家包饺子，妈妈包了15个，丽丽包了3个。丽丽还要包几个饺子才与妈妈一样多？答：丽丽还需要包12个饺子才能和妈妈包的一样多。问：妈妈和小丽在家包饺子，妈妈包了20个，丽丽包了3个。丽丽还要包几个饺子才与妈妈一样多？,17
1,问：小强原来有4辆小汽车。爸爸送给他一辆新车作为生日礼物。小强现在有几辆小汽车？答：小强现在有4 + 1 = 5辆小汽车。问：小强原来有8辆小汽车。爸爸送给他一辆新车作为生日礼物。小强现在有几辆小汽车？,9
1,问：草坪上有灰鸽子19只，白鸽子比灰鸽子多9只。草坪上有白鸽子多少只？答：白鸽子有19 + 9 = 29 支。问：草坪上有灰鸽子28只，白鸽子比灰鸽子多9只。草坪上有白鸽子多少只？,37
1,问：学校有菊花30盆，兰花70盆，一共有多少盆花？答：一共有30 + 70 = 100盆花。问：学校有菊花40盆，兰花50盆，一共有多少盆花？,90
1,问：马路两边各种40棵树，一共种树多少棵？答：马路两边各种了40棵树，所以一共种了40棵 * 2 = 80棵树。问：马路两边各种60棵树，一共种树多少棵,120
1,问：教室里有42把椅子，拿走一些，还剩8把，拿走了多少把？答：教室里原来有42把椅子，现在剩下8把，所以拿走了42 - 8 = 34把椅子。问：教室里有25把椅子，拿走一些，还剩10把，拿走了多少把？,15
1,问：一个皮球60元，一个毽子10元，毽子比皮球便宜多少元？答：毽子比皮球便宜 60 - 10 = 50元？问：一个皮球30元，一个毽子10元，毽子比皮球便宜多少元？,20
